pepper,37,0.5
pepper,79,0.5
pepper,132,0.5
pepper,165,0.5
pepper,177,0.5
pepper,243,0.5
pepper,250,0.5
pepper,260,0.5
pepper,273,0.5
pepper,295,0.5
pepper,348,0.5
pepper,361,0.5
pepper,378,0.5
pepper,393,0.5
pepper,434,0.5
pepper,442,0.5
pepper,460,0.5
pepper,519,0.5
pepper,602,0.5
pepper,620,0.5
pepper,628,0.5
pepper,632,0.5
pepper,704,0.5
pepper,737,0.5
pepper,767,0.5
pepper,778,0.5
pepper,793,0.5
pepper,867,0.5
pepper,886,0.5
pepper,957,0.5
pepper,965,0.5
pepper,971,0.5
pepper,1012,0.5
pepper,1021,0.5
pepper,1069,0.5
pepper,1092,0.5
butter,40,0.59
butter,56,0.59
butter,69,0.59
butter,73,0.59
butter,84,0.59
butter,93,0.59
butter,107,0.59
butter,108,0.59
butter,118,0.59
butter,136,0.59
butter,143,0.59
butter,159,0.59
butter,166,0.59
butter,174,0.59
butter,196,0.59
butter,198,0.59
butter,204,0.59
butter,205,0.59
butter,211,0.59
butter,215,0.59
butter,218,0.59
butter,241,0.59
butter,243,0.59
butter,249,0.59
butter,256,0.59
butter,262,0.59
butter,274,0.59
butter,275,0.59
butter,280,0.59
butter,281,0.59
butter,282,0.59
butter,288,0.59
butter,292,0.59
butter,294,0.59
butter,299,0.59
butter,301,0.59
butter,317,0.59
butter,324,0.59
butter,345,0.59
butter,357,0.59
butter,358,0.59
butter,363,0.59
butter,372,0.59
butter,390,0.59
butter,395,0.59
butter,397,0.59
butter,398,0.59
butter,400,0.59
butter,406,0.59
butter,410,0.59
butter,411,0.59
butter,423,0.59
butter,424,0.59
butter,431,0.59
butter,435,0.59
butter,463,0.59
butter,466,0.59
butter,469,0.59
butter,515,0.59
butter,519,0.59
butter,524,0.59
butter,554,0.59
butter,555,0.59
butter,556,0.59
butter,583,0.59
butter,591,0.59
butter,595,0.59
butter,597,0.59
butter,599,0.59
butter,600,0.59
butter,606,0.59
butter,619,0.59
butter,634,0.59
butter,645,0.59
butter,656,0.59
butter,657,0.59
butter,670,0.59
butter,674,0.59
butter,684,0.59
butter,697,0.59
butter,704,0.59
butter,719,0.59
butter,724,0.59
butter,730,0.59
butter,744,0.59
butter,753,0.59
butter,761,0.59
butter,772,0.59
butter,779,0.59
butter,798,0.59
butter,800,0.59
butter,811,0.59
butter,816,0.59
butter,822,0.59
butter,825,0.59
butter,837,0.59
butter,841,0.59
butter,847,0.59
butter,861,0.59
butter,875,0.59
butter,880,0.59
butter,890,0.59
butter,892,0.59
butter,893,0.59
butter,902,0.59
butter,909,0.59
butter,912,0.59
butter,913,0.59
butter,918,0.59
butter,920,0.59
butter,922,0.59
butter,925,0.59
butter,926,0.59
butter,927,0.59
butter,941,0.59
butter,957,0.59
butter,958,0.59
butter,968,0.59
butter,969,0.59
butter,971,0.59
butter,978,0.59
butter,980,0.59
butter,984,0.59
butter,985,0.59
butter,990,0.59
butter,997,0.59
butter,1004,0.59
butter,1007,0.59
butter,1013,0.59
butter,1018,0.59
butter,1027,0.59
butter,1030,0.59
butter,1040,0.59
butter,1046,0.59
butter,1054,0.59
butter,1064,0.59
butter,1082,0.59
butter,1091,0.59
butter,1101,0.59
butter,1104,0.59
clove,3,0.64
clove,88,0.64
clove,101,0.64
clove,118,0.64
clove,165,0.64
clove,177,0.64
clove,215,0.64
clove,234,0.64
clove,273,0.64
clove,282,0.64
clove,292,0.64
clove,295,0.64
clove,317,0.64
clove,397,0.64
clove,423,0.64
clove,426,0.64
clove,434,0.64
clove,458,0.64
clove,463,0.64
clove,506,0.64
clove,519,0.64
clove,576,0.64
clove,586,0.64
clove,595,0.64
clove,606,0.64
clove,607,0.64
clove,611,0.64
clove,628,0.64
clove,673,0.64
clove,700,0.64
clove,704,0.64
clove,750,0.64
clove,759,0.64
clove,847,0.64
clove,898,0.64
clove,909,0.64
clove,957,0.64
clove,990,0.64
clove,1022,0.64
clove,1029,0.64
clove,1030,0.64
clove,1092,0.64
clove,1102,0.64
egg,20,0.67
egg,40,0.67
egg,90,0.67
egg,108,0.67
egg,174,0.67
egg,203,0.67
egg,204,0.67
egg,220,0.67
egg,224,0.67
egg,249,0.67
egg,274,0.67
egg,285,0.67
egg,292,0.67
egg,424,0.67
egg,427,0.67
egg,435,0.67
egg,465,0.67
egg,466,0.67
egg,490,0.67
egg,507,0.67
egg,524,0.67
egg,529,0.67
egg,533,0.67
egg,554,0.67
egg,556,0.67
egg,559,0.67
egg,583,0.67
egg,595,0.67
egg,599,0.67
egg,657,0.67
egg,734,0.67
egg,742,0.67
egg,764,0.67
egg,772,0.67
egg,786,0.67
egg,827,0.67
egg,850,0.67
egg,890,0.67
egg,893,0.67
egg,912,0.67
egg,918,0.67
egg,927,0.67
egg,984,0.67
egg,985,0.67
egg,990,0.67
egg,1004,0.67
egg,1042,0.67
egg,1049,0.67
